Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1MS_QxWmgQA0oU1IkX9ZFw9t0Q8N8Xw7Ct0YKJyZD2Wk/export?format=csv&gid=1651249688

---

geraten,to get into
verfügen,"to have sth at one's disposal, be in charge"
schützen,to protect
vorbereiten,to prepare
wiederholen,to repeat
stören,"to disturb, bother"
feiern,to celebrate
vermitteln,"to arrange, find sth for sb"
berücksichtigen,to consider
ausschließen,"to exclude, rule out"
diskutieren,to discuss
funktionieren,"to function, work"
gründen,"to establish, found"
herrschen,to rule
schieben,to push
behaupten,to claim
erheben,to raise
verfolgen,to pursue
zurückkommen,to return
zwingen,to force
ablehnen,"to refuse, reject, turn down"
anwenden,"to apply, employ"
auftauchen,"to surface, appear"
beeinflussen,to influence
einfallen,"to occur, remind, collapse"
existieren,to exist
fördern,"to promote, support"
ansprechen,"to address, speak"
beachten,"to pay attention, observe"
empfinden,to feel
entfernen,"to remove, leave"
schneiden,to cut
sichern,"to secure, safeguard"
wenden,to turn
fassen,"to grasp, hold"
informieren,to inform
kümmern,"to take care of, be concerned"
nicken,to nod
organisieren,to organize
prägen,"to shape, mint"
sinken,to sink
vermeiden,to avoid
ankündigen,to announce
aufstehen,"to stand up, get up"
verstärken,"to strengthen, reinforce"
vorsehen,"to plan, provide for"
beschränken,to restrict
verletzen,to injure
begreifen,"to understand, grasp"
einladen,"to invite, load"
empfehlen,to recommend
eröffnen,"to open, start"
abhängen,to depend
anlegen,"to put on, invest"
bemühen,to make an effort
beschließen,to decide
konzentrieren,to concentrate
leiten,to lead
prüfen,"to examine, check"
schätzen,"to estimate, value"
unterhalten,"to amuse oneself, chat"
verpflichten,"to obligate, commit"
weitergehen,to go on
zurückkehren,to return
beitragen,to contribute
brechen,to break
definieren,to define
festlegen,"to fix, lay down"
orientieren,to orient
schreien,"to cry out, scream"
einnehmen,"to take up, in"
präsentieren,to present
übertragen,to transfer
anschauen,"to look at, watch"
bemerken,to notice
füllen,to fill
verteilen,to distribute
vornehmen,to plan
abnehmen,"to decrease, reduce"
aufweisen,"to show, exhibit, contain"
heiraten,to marry
messen,to measure
nachdenken,"to think about, reflect"
verbessern,"to improve, correct"
erzielen,"to achieve, reach"
hereinkommen,to come in
sammeln,"to collect, gather"
auslösen,"to set off, provoke"
durchsetzen,"to carry through, enforce"
ersetzen,"to replace, reimburse"
formulieren,to formulate
kämpfen,to fight
warnen,to warn
drängen,"to push, insist"
verbringen,to spend time
ausmachen,"to put out, agree"
binden,"to tie, bind"
erfassen,to grasp
gestalten,"to shape, design"
hinweisen,"to point to, refer to"
regeln,"to control, put in order"
zulassen,"to allow, admit"
anrufen,to call
anziehen,"to attract, put on, dress"
beenden,to end
reduzieren,"to reduce, decrease"
scheitern,"to fail, break down"
teilnehmen,to take part
angehen,"to concern, go on"
aufhören,to stop
äußern,"to express, voice"
einführen,"to introduce, import"
pflegen,"to care, cultivate"
versichern,"to insure, assert"
begleiten,to accompany
begrenzen,"to limit, restrict"
besetzen,"to occupy, fill"
gelangen,to reach
reißen,to tear
verweisen,to refer
akzeptieren,to accept
bestellen,"to order, reserve"
erweisen,to prove
erweitern,"to widen, expand"
fürchten,to fear
